condition,pathogenic_variant_count
CLDN5 deficiency,1
haemophilia B,1
WDR44-related ciliopathy,1
"Familial partial lipodystrophy, Kobberling type",1
SEMA3F-related disorder,1
"Immune dysregulation, autoimmunity, and autoinflammation",1
GDF2-related vasculopathy,1
Trigonitis,1
11p13p14 deletion,1
Sharpin-related autoinflammatory syndrome,1
"Spastic paraplegia 90B, autosomal recessive",1
DENND5B-related neurodevelopmental disorder,1
"Immunodeficiency 126, susceptibility to",1
ZFHX3-associated neurodevelopmental disorder,1
HP:0003473,1
ZNF699-related disorder,1
GPRASP1-related disorder,1
GIGYF1-associated disorder,1
HP:0001776,1
Neurodevelopmental disorder with ataxia and brain abnormalities,1
LEF1-related ectodermal dysplasia,1
Spermatogenic failure 21,1
Autosomal dominant MYH6-related disorders,1
NDUFB11-related disorders,1
GPT2-related disorder,1
ITSN1-related neurodevelopmental disorder,1
DHX30-related disorder,1
ASCC3-related disorder,1
PLAG1-related disorder,1
FIBP-related disorder,1
"Autoinflammation, panniculitis, and dermatosis syndrome, autosomal dominant",1
TFG-related Spastic paraplegia,1
Cataract 35,1
"Venular insufficiency, systemic",1
Retinal arteries,1
MED13-associated disorder,1
Autosomal dominant MYH3-related disorders,1
DHX9-associated neurodevelopmental disorder,1
POU3F3-related disorder,1
Tetraamelia-multiple malformations syndrome,1
Valence-Farazi cerebellar ataxia syndrome,1
APC-related polyposis,1
"Epilepsy, familial adult myoclonic, 4",1
SALL2-related disorder,1
Idiopathic cardiomyopathy,1
Immunodeficiency 123 with HPV-related verrucosis,1
SIAH1-related neurodevelopmental disorder,1
ATP11C-related disorder,1
SFTPA1-related disorder,1
16p13.11 recurrent microdeletion syndrome,1
MIPEP-related disorder,1
CDKL2-related condition,1
"Neurodevelopmental disorder with achalasia, polyneuropathy, and alacrima",1
TRAF3 haploinsufficiency,1
FARSA-related disorder,1
Oculofaciocardiodental syndrome (OFCD),1
FOXD2-associated disorder,1
Partial duplication of the long arm of chromosome 7,1
Partial duplication of the short arm of chromosome 3,1
FEZF2-related neurodevelopmental condition,1
"Myopathy with myalgia, increased serum creatine kinase, and with or without episodic rhabdomyolysis 1",1
Autosomal dominant ZFHX4-related disorders,1
PRDM16-related congenital heart disease,1
7q11.23 microduplication syndrome,1
KIF5B-related skeletal dysplasia,1
"Brain small vessel disease 2B, autosomal recessive",1
Autosomal recessive XYLT1-related disorders,1
OXR1-related disorder,1
"Immunodeficiency 114, folate-responsive",1
BRSK2-associated neurodevelopmental disorder,1
INTS6-associated neurodevelopmental disorder,1
Hereditary thrombophilia,1
Auriculocondylar syndrome 4,1
IGF2-related disorder,1
ADAM22-related disorder,1
Immunodeficiency 122,1
Abnormality of the digestive system,1
Partial deletion of the long arm of chromosome 7,1
MICU1-related disorder,1
THADA-related disorder,1
SNW1-associated neurodevelopmental disorder,1
Autosomal dominant HNF1A-related disorders,1
POLR2A-related disorder,1
KCNJ1-related disorder,1
Non-dilated left ventricular cardiomyopathy,1
"Autism, susceptibility to, 16",1
BSN-related disorder,1
X-linked acrogigantism due to Xq26 microduplication,1
SUZ12-related disorder,1
HNRNPD-related neurodevelopmental disorder,1
Pachygyria-intellectual disability-epilepsy syndrome,1
"Neurodevelopmental disorder with behavioral, ear, and skeletal abnormalities",1
Speech and developmental delays,1
AP5B1-associated macular dystrophy,1
Borderline Ovarian Mucinous Tumor,1
P2RY12-related disorder,1
Auriculocondylar syndrome 2B,1
Intellectual developmental disorder with seizures and dysmorphic facies,1
DIP2C-related developmental disorder with speech delay,1
Autosomal recessive ZNF423-related disorders,1
Anorectal malformation,1
HP:0000508,1
Hereditary optic neuropathy,1
TP63-related ectodermal dysplasia spectrum with limb and orofacial malformations,1
Dilated aortic root,1
10q11.22q11.23 deletion syndrome,1
Renal Calcium Wasting Hypercalciuria,1
NRROS-related disorder,1
CAPN15-related disorder,1
SF3B4-related disorder,1
ENTPD1-related disorder,1
Dandy-Walker malformation,1
HYPOGONADOTROPIC HYPOGONADISM 5 WITHOUT ANOSMIA,1
Autosomal Dominant TRPV4-Related Disorders,1
Progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome,1
"MITOCHONDRIAL COMPLEX I DEFICIENCY, MITOCHONDRIAL TYPE 2",1
"Thyroxine-binding globulin, slow",1
G6PD NASHVILLE,1
"Astrocytoma, low-grade, somatic",1
HEMOGLOBIN J (MEERUT),1
Anhaptoglobinemia,1
Insomnia,1
Abnormality of mitochondrial metabolism,1
Acute liver failure,1
SMOC1-related disorder,1
Fanconi anemia complementation group V,1
Optic atrophy 11,1
"Aortic aneurysm, familial thoracic 11, susceptibility to",1
PI NULL(BOLTON),1
MYD88-related disorder,1
"Azoospermia, obstructive, with nephrolithiasis",1
IL17RC-related disorder,1
KCNE5-related disorder,1
CHL1-related disorder,1
"T-CELL LYMPHOPENIA, INFANTILE, WITHOUT NAIL DYSTROPHY, AUTOSOMAL DOMINANT",1
Rickets,1
PAK1-related neurodevelopmental disorders,1
"Hemophagocytic lymphohistiocytosis, familial, 6",1
Mosaic neurofibromatosis type 1,1
HBD-related disorder,1
"Facioscapulohumeral muscular dystrophy 3, digenic",1
T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,1
GEMIN5-related neurodevelopmental disorder,1
HOXA11-related disorder,1
SYNPO-related disorder,1
Autosomal recessive OTOF-related disorders,1
"Gilbert syndrome, susceptibility to",1
"Microvascular complications of diabetes, susceptibility to, 4",1
HEMOGLOBIN HYOGO,1
HEMOGLOBIN YAOUNDE,1
Hemoglobin constant spring,1
HEMOGLOBIN TUNIS-BIZERTE,1
Sertoli cell tumor,1
PI S(IIYAMA),1
IMPG1-related disorder,1
CSTB-related disorder,1
ALX1-related disorder,1
SMAD9-related disorder,1
Idiopathic spontaneous coronary artery dissection,1
Pemigatinib resistance,1
Spitz Melanocytoma,1
Lumbar hyperlordosis,1
Zimmermann-Laband syndrome with epileptic encephalopathy,1
PAX8-related disorder,1
ABCA13-related disorder,1
HCRTR2-related disorder,1
PANX1-related disorder,1
Discoid lupus erythematosus,1
Pelger-Huet-like anomaly and episodic fever with abdominal pain,1
"Hemolytic uremic syndrome, atypical, susceptibility to",1
Autosomal dominant MYBPC3-related disorders,1
Maternally-inherited spastic paraplegia,1
HPRT EVANSVILLE,1
PRB3S(CYS),1
HNF1A-related disorders,1
HEMOGLOBIN BRIGHAM,1
"Klippel-Feil syndrome 3, autosomal dominant",1
Brachycephaly,1
LRMDA-related disorder,1
developmental delay with intractable seizures,1
acorea-microphthalmia-cataract syndrome,1
PPP2R2B-related disorder,1
Thoracic scoliosis,1
ARV1-related disorder,1
Hyperlipidemia,1
Handgrip myotonia,1
Factor VII Padua,1
Myoclonic absence seizure,1
Combined oxidative phosphorylation deficiency 34,1
Arterial thrombosis,1
Dynein arm defect of respiratory motile cilia,1
PRKD1-related disorder,1
Progressive peripheral neuropathy,1
DNAJC30-associated disorder,1
CSNK2A1-related neurodevelopmental syndrome,1
Distal 7q11.23 microdeletion syndrome,1
CAMK2D-related condition,1
NFKBIA-related disorder,1
"TAY-SACHS DISEASE, JUVENILE",1
"Blepharophimosis, ptosis, and epicanthus inversus, type II with Duane retraction syndrome",1
"Robinow syndrome, autosomal recessive, with aplasia/hypoplasia of phalanges and metacarpals/metatarsals",1
"Ataxia and polyneuropathy, adult-onset",1
"Thyroxine-binding globulin deficiency, partial",1
Corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome,1
Hyperglycemia,1
HEMOGLOBIN PYRGOS,1
PI Q0(HONG KONG 1),1
Autosomal recessive nonsyndromic hearing loss 88,1
Macrocephaly and epileptic encephalopathy,1
Intermediate severe Salla disease,1
Anterior creases of earlobe,1
Moderate intellectual deficiency,1
Ovarian Cancers,1
Autosomal dominant ATP1A3-related disorders,1
Idiopathic transverse myelitis,1
Hereditary factor I deficiency disease,1
RBFOX3-related disorder,1
SEPSECS-related disorder,1
Autosomal recessive EFEMP2-related disorders,1
Joint dislocation,1
HYAL1-related disorder,1
ARMC9-related disorder,1
POGLUT1-related disorder,1
Cerebellar cyst,1
"Capillary Telangiectasia, Brain",1
BCL11A-Related Intellectual Disability,1
MRTFA-related disorder,1
KANK2-related disorder,1
Attention deficit-hyperactivity disorder 8,1
Autosomal recessive COQ2-related disorders,1
Paroxysmal dyskinesia,1
"Polyneuropathy, inflammatory demyelinating",1
HPRT LONDON,1
FACTOR VIII (EAST HARTFORD),1
G6PD DHON,1
Ductal carcinoma in situ,1
HEMOGLOBIN SAN DIEGO,1
HEMOGLOBIN INKSTER,1
FIBRINOGEN NAPLES,1
"DNA topoisomerase I, camptothecin-resistant",1
GNAO1-Related Neurodevelopmental Disorder,1
Early repolarization associated with ventricular fibrillation,1
"Dyslexia, susceptibility to, 2",1
NHEJ1-related disorder,1
Proximal lower limb muscle weakness,1
Clonus,1
Absent vertebral body mineralization,1
Intestinal polyposis,1
"CROMER BLOOD GROUP SYSTEM, Dr(a-) PHENOTYPE",1
UBTF E210K Neuroregression Syndrome,1
Inclusion body myositis,1
Macroscopic hematuria,1
Chronic adenoiditis,1
"Spastic ataxia 9, autosomal recessive",1
ELP4-related disorder,1
CD27-related disorder,1
GHSR-related disorder,1
DVL1-related disorder,1
Gastrointestinal carcinoma,1
"Exudative vitreoretinopathy 4, digenic",1
X-linked DMD-related dystrophinopathy,1
HEMOGLOBIN HEATHROW,1
APOE2-DUNEDIN,1
"Cardiomyopathy, familial restrictive, 4",1
AKT3-related disorder,1
"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 9",1
NECTIN3-related disorder,1
SCARB1-related disorder,1
Cerebral hypoplasia,1
ROS1-related disorder,1
Pituitary hypothyroidism,1
Absent axillary hair,1
Impaired feeding ability,1
"Spinal muscular atrophy, facioscapulohumeral type",1
Cognitive impairment and autistic features,1
APRT-related disorder,1
UNC13A-associated disorder,1
Spinocerebellar ataxia type 41,1
Neuralgic amyotrophy,1
CRYBA4-related disorder,1
MAP2K3-related disorder,1
IMPG2-related recessive retinopathy,1
Postaxial foot polydactyly,1
Cystic parathyroid adenoma,1
"Galactosemia III, severe",1
"HEART BLOCK, NONPROGRESSIVE",1
G6PD AVEIRO,1
Autosomal recessive IDUA-related disorders,1
"ADRENAL INSUFFICIENCY, NR5A1-RELATED",1
22 conditions,1
"Budd-Chiari syndrome, susceptibility to, somatic",1
"Spastic Paraplegia, Recessive",1
Ventral hernia,1
Irregular respiration,1
HIKESHI-related disorder,1
Familial breast and ovarian cancer,1
Endometrioid adenocarcinoma,1
ARHGEF15-related disorder,1
ZSWIM6 related intellectual disability,1
Abnormal circulating ornithine concentration,1
"Retinitis pigmentosa, juvenile",1
HNRNPA2B1-related disorder,1
Retinitis pigmentosa with macular involvement,1
PIP5K1C-related neurodevelopmental disorder,1
GNB5-reled disorder,1
LAGE3-related disorder,1
Gastric polyposis,1
ivacaftor / lumacaftor response - Efficacy,1
"Robinow syndrome, autosomal recessive, with brachy-syn-polydactyly",1
G6PD SANTIAGO DE CUBA,1
G6PD MALAGA,1
G6PD GUADALAJARA,1
"Diffuse low-grade glioma, MAPK pathway–altered",1
"Cataract 9, autosomal recessive",1
"Helicobacter pylori infection, susceptibility to",1
ALBUMIN B,1
Autosomal recessive AGK-related phenotype,1
TRPV3-related disorder,1
ATP2C2-related disorder,1
neonatal lactic acidosis,1
Generalized cerebral atrophy/hypoplasia,1
Alpha thalassemia X-linked intellectual disability (ATRX) syndrome,1
"Hearing loss, autosomal dominant 72",1
"Acquired immunodeficiency syndrome, delayed progression to",1
"Migraine, sporadic hemiplegic, with progressive cerebellar ataxia",1
Migraine without aura,1
Primary low grade serous adenocarcinoma of ovary,1
"CRANIOSYNOSTOSIS, NONSYNDROMIC UNICORONAL",1
Vitreoretinopathy with phalangeal epiphyseal dysplasia,1
NOR polyagglutination syndrome,1
"Intellectual disability, autosomal recessive 24",1
Polymorphic ventricular tachycardia,1
Ocular impairment,1
CRLF1-related disorder,1
Familial aortic aneurysms,1
LDHA-related disorder,1
Hydrocele testis,1
Hypotelorism,1
Diamond-Blackfan anemia 19,1
Hereditary renal cancer,1
PIK3R5-related disorder,1
CYFIP2-related disorder,1
Autoimmune thrombocytopenic purpura,1
Distal symphalangism,1
Spermatogenic failure 62,1
"Pontocerebellar hypoplasia, type 1F",1
Spermatogenic failure 54,1
Spermatogenic failure 68,1
Apolipoprotein c-ii variant,1
Saethre-Chotzen syndrome with eyelid anomalies,1
Leigh syndrome due to mitochondrial complex IV deficiency,1
"RAS-ASSOCIATED AUTOIMMUNE LEUKOPROLIFERATIVE DISORDER 1, SOMATIC",1
HEMOGLOBIN SHELBY,1
Giant axonal neuropathy 2,1
VITAMIN B12 PLASMA LEVEL QUANTITATIVE TRAIT LOCUS 1,1
Autosomal. recessive NPHP4-related disorders,1
Opsoclonus-myoclonus syndrome,1
Visual field defect,1
FAR1-related neurodevelopmental disorder,1
MORC2-related developmental disorder,1
Aplasia of the uterus,1
Autosomal recessive spastic paraplegia type 59,1
HIVEP1-related disorder,1
CNGA1-related retinopathy,1
HDAC6-related disorder,1
Auroneurodental syndrome,1
AFF3-related neurodevelopmental disorders,1
"LOXL3-related Stickler syndrome, autosomal recessive",1
Magnetic resonance imaging of brain abnormal,1
"Skin/hair/eye pigmentation 3, blue/green eyes",1
MT-ND4-related disorders,1
Congenital nonspherocytic hemolytic anemia,1
"Obesity, early-onset, susceptibility to",1
PI Z(TUN),1
Erythrokeratodermia variabilis et progressiva 3,1
STXBP1-associated neurodevelopmental disorder,1
ATF6-related disorder,1
Generalized muscle weakness,1
Congenital short bowel syndrome,1
"Cerebral palsy, spastic quadriplegic, 3",1
UQCRB-related disorder,1
FASLG-related disorder,1
Central nervous system germinoma,1
NFAT5-related disorder,1
Qualitative or quantitative defects of alpha-sarcoglycan,1
Autosomal recessive WDR35-related disorders,1
Hereditary disorder of connective tissue,1
DDX54-related disorder,1
SERPIND1-related disorder,1
GFPT1-related myopathy with protein aggregates and rimmed vacuoles,1
Alcohol dependence,1
"Gm2-gangliosidosis, adult",1
Syndromic inherited retinal disease,1
"Acquired immunodeficiency syndrome, rapid progression to",1
HEMOGLOBIN E (SASKATOON),1
Gonadotropin deficiency,1
Recessive mitochondrial ataxia syndrome,1
CACNA2D4-related retinopathy,1
VAX1-related disorder,1
TFAP2B-related disorder,1
B9D2-related disorder,1
Astigmatism,1
TWIST1-related craniofacial disorders,1
DDHD1-related disorder,1
ZNF292-related neurodevelopmental condition,1
Atrophic scars,1
Lacrimoauriculodentodigital syndrome 2,1
KCNH1-related phenotype,1
TPP2-related disorder,1
DNASE1-related disorder,1
CXCR2-related disorder,1
POC1B-related disorder,1
PRKAR1B-related neurodevelopmental disorder,1
Spermatogenic failure 55,1
Immunodeficiency 89 and autoimmunity,1
FICUS syndrome,1
Seborrhea-like dermatitis with psoriasiform elements,1
"Deafness, autosomal recessive 36, without vestibular involvement",1
"Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas",1
Simplex epidermolysis bullosa_Ogna type,1
HPRT CHERMSIDE,1
Autosomal recessive ABCB4-related disorders,1
HEMOGLOBIN CHIBA,1
HEMOGLOBIN M (SASKATOON),1
APOE2 VARIANT,1
GLUD2-related disorder,1
Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria,1
PPP2R1A-related neurodevelopmental disorders,1
Craniofacial anomalies and anterior segment dysgenesis syndrome,1
Anteverted nares,1
Autosomal recessive GOSR2-related disorders,1
MOCS2-related disorder,1
LINS1-related disorder,1
JMJD1C-related disorder,1
ARX-associated condition,1
NCSTN-related disorder,1
Hypomagnesemia,1
Short 5th finger,1
Systemic autoinflammation,1
Short palm,1
CELSR1-associated congenital heartdefects,1
Hypermetabolism due to Defect in Mitochondrial Coupling,1
NCAPD2-related disorder,1
Methylmalonic aciduria and homocystinuria,1
"Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 2",1
"Atrioventricular septal defect, partial, with heterotaxy syndrome",1
Akinesia,1
LYMPHEDEMA-DISTICHIASIS SYNDROME WITH RENAL DISEASE AND DIABETES MELLITUS,1
Cerebral dysmyelination,1
HPRT SWAN,1
G6PD SPRINGFIELD,1
HEMOGLOBIN G (HSIN-CHU),1
HEMOGLOBIN INDIANAPOLIS,1
HEMOGLOBIN DRENTHE,1
HEMOGLOBIN O (INDONESIA),1
cutaneous-skeletal hypophosphatemia syndrome,1
"Intellectual disability, anterior maxillary protrusion, and strabismus",1
Dyskinesia with orofacial involvement,1
ORC6-related disorder,1
KCND2-related disorder,1
Stargardt-like macular dystrophy,1
GPRASP2-related disorder,1
Fatigable weakness,1
Juvenile polyps,1
VPS16-associated disorder,1
Oocyte maturation defect 11,1
Autosomal dominant COL1A2-related disorders,1
HEMOGLOBIN DARTMOUTH,1
Abruzzo-Erickson syndrome,1
BMPR1A-Related Polyposis Syndrome,1
Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,1
Pulmonary alveolar proteinosis,1
"Microcephaly with or without chorioretinopathy, lymphedema or intellectual disability (MCLID)",1
Congenital bilateral absence of vas deferens,1
Pilomyxoid astrocytoma,1
"Chorea, childhood-onset, with psychomotor retardation",1
Syndromic X-linked intellectual disability Shashi type,1
CORO1A-related disorder,1
"Muscular dystrophy, adult-onset, with leukoencephalopathy",1
Macrocephaly at birth,1
Family history of cancer,1
Skeletal muscle hypertrophy,1
